feature,importance_mean,importance_std
session_type,0.2112379323208558,0.0018127783998080728
bmi,0.03615071546890016,0.0011675553726976054
orthopedic_insole,0.02969334132519823,0.003201045933188136
vgrf_peak_mean,0.027164968201569863,0.0011505726085865268
loading_rate_sym,0.026177189227326723,0.0015973332734205824
loading_rate_mean,0.021084655771202755,0.0006067750730335008
height,0.019914876519033765,0.0010021791491990036
shoe_size,0.008411190932811152,0.0005870911498744634
age,0.002506828620319723,0.00038358250969544345
shoe_condition,0.0,0.0
walking_speed,0.0,0.0
body_mass,-0.0014012910879769524,0.0002042339589210238
vgrf_peak_diff,-0.0014365583626071877,0.0009991323347976393
body_weight,-0.001767556523432856,0.00019841533146934266
loading_rate_max,-0.002778212660618351,9.102510958328876e-05
vgrf_peak_max,-0.0031228118608034538,0.0001840238779054214
sex,-0.005280767647478179,0.0003059477567836407
