feature,importance_mean,importance_std
cop_path_length_mean,0.1268109084863565,0.0033528049463909825
vgrf_peak_diff,0.02825188664339462,0.0019574949461837296
loading_rate_sym,0.027982966432845657,0.003192913798406884
loading_rate_mean,0.01887512252168564,0.003453013882945581
height,0.018335336854116036,0.002731356944918123
loading_rate_max,0.016822061819738953,0.0023497652537613463
vgrf_peak_max,0.011177201726695363,0.001619997647341372
cop_ap_range_mean,0.008484346133870346,0.0021194268638601776
age,0.0056780063820529355,0.001760565068102428
ap_braking_impulse_mean,0.0054453681878053216,0.0008690880179332394
ap_propulsion_impulse_mean,0.0051621658284096705,0.0009573705419064196
body_mass,0.004991005475388421,0.0017985090063559733
sex,0.004698954448516512,0.0017450961407998243
push_off_index,0.003212613526946484,0.0007586561230248003
vgrf_peak_mean,0.002972508381887873,0.0018714533371606162
body_weight,0.0027539202062506264,0.0008808757872652744
ap_propulsion_impulse_sym,0.0027506325594227167,0.0017135363452691545
vgrf_left_85,0.002179884652197872,0.0012633916834787558
vgrf_right_10,0.0021753001442590403,0.0006924297764666307
bmi,0.0021126953529702064,0.00022929724616758965
vgrf_left_20,0.0020672951814547204,0.0006384883625363286
shoe_size,0.002061767729856312,0.0012603193987574147
vgrf_left_84,0.0020085193664833856,0.001161722301160908
vgrf_right_12,0.0020028643303863004,0.0006533944174498505
vgrf_left_21,0.0019530714225566514,0.000381513976235764
vgrf_left_22,0.0019530523255339104,0.0006113795648551389
vgrf_left_81,0.0018947858090498926,0.0011253238033162895
vgrf_left_86,0.0017782556801796412,0.0005570235536204713
vgrf_left_83,0.0016641810054679683,0.0014879161599429046
vgrf_right_11,0.0016594656899580952,0.0008762940681868314
vgrf_right_13,0.0016010606306374297,0.0005617007436403712
vgrf_left_87,0.001549689971234436,0.0007586779946569754
vgrf_left_80,0.0013801176682231241,0.0009851227996361559
vgrf_left_23,0.0013794829496701412,0.00045914830630050594
vgrf_right_5,0.0013784563393647753,0.00033474972875292646
vgrf_right_19,0.0013782183071710196,0.0007783811008685578
vgrf_left_78,0.0013226048522392952,0.0003886145151094634
vgrf_left_79,0.0013217577558892967,0.0003440742479958509
vgrf_right_23,0.0013198889080949794,0.0009711278451284822
vgrf_right_27,0.0013195643739866147,0.0003441390123915361
cop_ap_range_sym,0.0013139433498814857,0.001477667277716314
vgrf_left_17,0.0012635695440991635,0.000291587971219508
vgrf_left_19,0.0012086957301536971,0.0004582611767002143
vgrf_left_82,0.0012082637916115192,0.0007779156827269349
vgrf_right_81,0.0012047195187594895,0.0010151290056073068
vgrf_left_18,0.0011523185176530726,0.0009753406747032182
vgrf_right_84,0.0011474993427984747,0.0011475423555534095
vgrf_right_26,0.0011472247923999478,0.0006009416125465554
vgrf_right_22,0.0010919473700632177,0.00033466281658665696
vgrf_left_24,0.0010354903143887206,0.00042954702876100834
vgrf_right_76,0.0010324819528762185,0.000899951810669875
vgrf_right_28,0.0010321448253204136,0.0006439158795290788
vgrf_right_29,0.0010319415774496354,0.0003878417977916254
vgrf_left_26,0.0009762900413582187,0.0003890090679534728
vgrf_right_21,0.0009198192814607431,0.00028158347188681594
vgrf_right_6,0.0009195701715211113,0.0006626691235628056
vgrf_right_83,0.0009182885225502036,0.000458194335138152
vgrf_left_31,0.0009176982523792177,0.0003347655341684122
cop_ml_range_sym,0.0009171302479548116,0.0015730957152120118
vgrf_right_14,0.000914670541971363,0.0005558543421181649
vgrf_right_86,0.0008604995651936509,0.0007247301180421812
vgrf_right_90,0.0008602810668552508,0.0005132305252311041
vgrf_right_15,0.0008593982428829694,0.0003629135960756215
vgrf_left_25,0.000804913334502766,0.0004935762115916931
vgrf_right_18,0.0008039623784590999,0.0004593960541873328
vgrf_right_91,0.000803525859835652,0.0004925933466055954
vgrf_left_30,0.000803048108627169,0.00021490655409192813
vgrf_right_20,0.0007484412380514227,0.0007606039673101131
vgrf_right_4,0.0007474523514565456,0.0002295599520380768
vgrf_right_24,0.000746991073730463,0.0007390981896189298
vgrf_left_5,0.0007467530149563473,0.0003894597082774971
vgrf_left_4,0.0007462821924731245,0.0004295850666997966
vgrf_left_27,0.0006895293944141567,0.00038903260292493186
vgrf_left_32,0.0006886048622353425,0.0002295375689437102
vgrf_right_85,0.0006875962349697895,0.0009003950751164453
vgrf_left_16,0.0006330328430065979,0.0007112790585455875
vgrf_right_7,0.0006323132177183278,0.00011465540731919909
vgrf_left_60,0.0006320879646322774,0.00021519617587535371
vgrf_right_56,0.0006318567185837232,0.0003343688689510205
vgrf_right_79,0.0006305322622620624,0.0006124536299055461
vgrf_right_34,0.0006303056806261198,0.00038088766128449445
vgrf_right_82,0.0005757400029110071,0.00047886051145180295
vgrf_left_29,0.000574635066790341,0.00018165272370330228
vgrf_left_6,0.0005739593356453687,0.00018199382704172902
vgrf_right_54,0.0005167614404293586,0.00033472331559613775
vgrf_left_88,0.0005163138542687351,0.0003342722252356962
vgrf_left_94,0.0005157546798939538,0.0006392176133208496
vgrf_right_94,0.0005155072752445866,0.0003805816633945939
vgrf_left_61,0.00046044015082922216,0.00022937528097216974
vgrf_right_51,0.0004600002347965759,0.0006694984994301296
vgrf_right_52,0.00045953155178430906,0.00042986316004062507
vgrf_right_35,0.00045820176313284835,0.0003891562525241703
vgrf_left_15,0.0004034715229110475,0.0004999475696949897
vgrf_left_76,0.0004032428585763359,0.0005620172620977523
vgrf_right_46,0.0004020808031824252,0.0003442746187782614
ap_braking_impulse_sym,0.0004020706638983906,0.0005904062535378975
vgrf_left_28,0.00040185567336190606,0.00042869702249951334
vgrf_left_63,0.00040185022640748524,0.000343972607299106
vgrf_right_87,0.00040141307207668396,0.0005620154332770549
vgrf_right_55,0.00034488333109472524,0.0007117021138643343
vgrf_left_59,0.0003448545439773243,0.00021456400839134002
