feature,importance_mean,importance_std
orthopedic_insole,0.12463528959232861,0.0009642354055238375
sex,0.09504824767440287,0.0005161037382223482
bmi,0.07211176654289306,0.0009797207002916052
age,0.06930396504880332,0.0007752600430569568
height,0.04729035238767883,0.0003335143775186532
body_weight,0.03304215031014117,0.00047499441439282806
body_mass,0.032650641808100886,0.00028444480954012397
shoe_size,0.029930014608705324,0.0008157702441294333
vgrf_peak_unaff,0.010137664994320783,0.0006683791647118619
vgrf_peak_asym,0.009176773341299026,0.0004969897982694374
loading_rate_asym,0.00706442814320436,0.00042823568688292603
vgrf_peak_aff,0.005886061453632463,0.0002555017606233951
vgrf_peak_max,0.003956501773789834,0.0003130996952151272
loading_rate_mean,0.003814799716325057,0.00017873355842293776
vgrf_peak_mean,0.0036664233334437134,0.0004039329603429099
loading_rate_max,0.003483427831828978,9.191977964268274e-05
vgrf_peak_diff,0.003060247511753733,9.889893375850346e-05
loading_rate_sym,0.002254650610631148,0.00010840037348592099
session_type,0.0005913371987004368,6.609913997718152e-05
walking_speed,0.0,0.0
shoe_condition,0.0,0.0
