feature,importance_mean,importance_std
orthopedic_insole,0.1326194792788528,0.0014483109484039031
age,0.10250311639719265,0.00035887105281410197
bmi,0.07223861229939481,0.0009255087601163411
height,0.053488637974770256,0.0014167458467338719
body_weight,0.04037519004884682,0.00032155320235448904
shoe_size,0.03943666003188704,0.0008042670308135567
body_mass,0.03581134342901886,0.000885636007502977
sex,0.031009310287473134,0.00047050043877964196
vgrf_peak_unaff,0.015356984126973483,0.0004017336204865412
vgrf_peak_asym,0.011989078934799946,0.000467009062020118
loading_rate_asym,0.011683365169961869,0.0001364842041517215
vgrf_peak_aff,0.007090685136444908,0.000376376295344047
loading_rate_max,0.005087873175279567,0.00019288356410335656
vgrf_peak_max,0.004465732045511883,0.00032279836273386915
loading_rate_sym,0.0038662979397346307,0.00021113083088012096
loading_rate_mean,0.0035405781725752483,0.0005589907677239227
vgrf_peak_diff,0.00353014130445084,0.00025342518730180064
vgrf_peak_mean,0.002569665886448824,0.000298227000003035
session_type,0.0012849067966412165,0.00030014721812032466
walking_speed,0.0,0.0
shoe_condition,0.0,0.0
